Rk;Squad;MP;W;D;L;GF;GA;GD;Pts;Pts/MP;Attendance;Top Team Scorer;Goalkeeper;Notes
1;Huachipato;30;17;6;7;48;30;18;57;1.9;1834;Cris Martínez - 12;Gabriel Castellón;
2;Cobresal;30;16;8;6;56;39;17;56;1.87;443;Gastón Lezcano, Cecilio Waterman - 10;Leandro Requena;
3;Colo-Colo;30;15;9;6;45;29;16;54;1.8;11851;Carlos Palacios - 7;Brayan Cortés;
4;Palestino;30;14;7;9;46;40;6;49;1.63;583;Misael Dávila - 10;César Rigamonti;
5;Coquimbo Unido;30;14;5;11;43;42;1;47;1.57;2928;Rodrigo Holgado - 16;Diego Sánchez Carvajal;
6;CD Everton;30;13;6;11;42;39;3;45;1.5;2962;Sebastián Sáez - 12;Franco Torgnascioli;
7;Univ Católica;30;11;9;10;48;43;5;42;1.4;3509;Fernando Zampedri - 17;Nicolás Peranic, Matías Dituro;
8;La Calera;30;10;11;9;42;41;1;41;1.37;1174;Lucas Passerini - 7;Omar Carabalí;
9;Univ Chile;30;11;7;12;40;42;-2;40;1.33;4351;Leandro Fernández - 10;Cristóbal Campos;
10;Unión Española;30;10;9;11;40;36;4;39;1.3;1996;Leandro Garate - 14;Sebastián Pérez Kirby;
11;O'Higgins;30;9;8;13;37;39;-2;35;1.17;2822;Matías Marín - 6;José Ignacio González;
12;Ñublense;30;9;8;13;33;39;-6;35;1.17;2572;Patricio Rubio - 15;Nicola Pérez;
13;Audax Italiano;30;10;5;15;36;43;-7;35;1.17;1269;Gonzalo Sosa - 10;Tomás Ahumada;
14;Deportes Copiapó;30;8;10;12;32;45;-13;34;1.13;1840;Maximiliano Quinteros - 8;Nelson Espinoza;
15;Deportes Magallanes;30;8;5;17;36;49;-13;29;0.97;1113;Joaquín Larrivey - 7;Matías Rodríguez;Relegated
16;Curico Unido;30;6;5;19;30;58;-28;23;0.77;2473;Diego Coelho - 8;Fabián Cerda;Relegated
